time,PT1: HP,PT2: FUEL,PT3: OX,PT4: ENG?, PT5,PT6,PT7,PT8
18:44:10:695,1,2,369,2835,2691,2743,10514,2835
18:44:10:885,1,2,369,2835,2683,2753,10523,2835
18:44:11:008,1,2,370,2840,2687,2743,10536,2840
18:44:11:164,1,2,371,2837,2690,2741,10548,2837
18:44:11:288,1,2,371,2834,2686,2749,10551,2834
18:44:11:476,1,2,371,2837,2690,2753,10559,2837
18:44:11:602,1,2,372,2836,2686,2752,10569,2836
18:44:11:757,1,2,372,2841,2692,2743,10574,2841
18:44:11:882,1,2,372,2842,2684,2747,10588,2842
18:44:12:069,1,2,372,2839,2685,2742,10585,2839
18:44:12:195,1,2,373,2836,2688,2748,10600,2836
18:44:12:382,1,2,373,2842,2691,2747,10604,2842
18:44:12:507,1,2,374,2842,2692,2747,10610,2842
18:44:12:662,1,2,374,2838,2683,2744,10623,2838
18:44:12:789,1,2,374,2839,2685,2742,10627,2839
18:44:12:976,1,2,375,2840,2689,2750,10631,2840
18:44:13:102,1,2,375,2844,2693,2751,10648,2844
18:44:13:257,1,2,376,2840,2691,2750,10655,2840
18:44:13:383,1,2,376,2832,2686,2747,10655,2832
18:44:13:571,1,2,376,2840,2685,2748,10668,2840
18:44:13:696,1,2,376,2834,2683,2742,10673,2834
18:44:13:824,1,2,377,2836,2683,2744,10678,2836
18:44:13:977,1,2,377,2840,2685,2749,10690,2840
18:44:14:165,1,2,378,2835,2678,2751,10699,2835
18:44:14:289,1,2,378,2846,2683,2747,10708,2846
18:44:14:477,1,2,378,2835,2690,2742,10709,2835
18:44:14:602,1,2,379,2836,2685,2746,10718,2836
18:44:14:757,1,2,379,2835,2687,2747,10731,2835
18:44:14:884,1,2,380,2837,2686,2746,10739,2837
18:44:15:067,1,2,380,2839,2689,2748,10745,2839
18:44:15:191,1,2,380,2834,2689,2746,10750,2834
18:44:15:378,1,2,381,2835,2683,2742,10760,2835
18:44:15:504,1,2,381,2836,2689,2743,10762,2836
18:44:15:660,1,2,381,2834,2687,2745,10779,2834
18:44:15:787,1,2,382,2837,2688,2748,10780,2837
18:44:15:976,1,2,382,2845,2685,2745,10796,2845
18:44:16:098,1,2,382,2839,2689,2749,10798,2839
18:44:16:226,1,2,383,2837,2686,2745,10811,2837
18:44:16:364,1,2,383,2835,2690,2750,10814,2835
18:44:16:567,1,2,383,2835,2686,2742,10816,2835
18:44:16:689,1,2,384,2838,2688,2746,10831,2838
18:44:16:876,1,2,384,2831,2689,2740,10839,2831
18:44:17:002,1,2,385,2836,2695,2740,10851,2836
18:44:17:127,1,2,385,2828,2693,2744,10859,2828
