time,PT1: HP,PT2: FUEL,PT3: OX,PT4: ENG?, PT5,PT6,PT7,PT8
18:55:25:026,505,7,4,2868,13266,2843,2750,2868
18:55:25:228,503,7,4,2865,13234,2850,2752,2865
18:55:25:354,502,7,4,2869,13203,2848,2745,2869
18:55:25:541,500,7,4,2870,13171,2849,2746,2870
18:55:25:667,499,7,4,2868,13143,2846,2747,2868
18:55:25:820,497,7,4,2876,13108,2846,2752,2876
18:55:25:943,496,7,4,2868,13082,2845,2752,2868
18:55:26:128,494,7,4,2872,13049,2845,2748,2872
18:55:26:252,493,7,4,2871,13019,2851,2753,2871
18:55:26:441,491,7,4,2869,12989,2848,2746,2869
18:55:26:566,490,7,4,2874,12961,2846,2750,2874
18:55:26:721,488,7,4,2869,12926,2843,2751,2869
18:55:26:846,487,7,4,2871,12900,2842,2745,2871
18:55:27:034,486,7,4,2874,12869,2843,2748,2874
18:55:27:161,484,7,4,2869,12839,2843,2752,2869
18:55:27:288,483,7,4,2869,12808,2842,2750,2869
18:55:27:428,481,7,4,2868,12775,2842,2752,2868
18:55:27:628,480,7,4,2874,12749,2845,2750,2874
18:55:27:752,479,6,4,2874,12722,2840,2750,2874
18:55:27:938,477,6,4,2874,12690,2840,2744,2874
18:55:28:063,476,6,4,2871,12661,2836,2747,2871
18:55:28:191,474,6,4,2876,12632,2838,2747,2876
18:55:28:330,473,6,4,2871,12599,2840,2749,2871
18:55:28:518,472,6,4,2873,12575,2838,2746,2873
18:55:28:643,470,7,4,2872,12545,2842,2750,2872
18:55:28:827,469,6,4,2866,12514,2839,2744,2866
18:55:28:952,467,6,4,2871,12486,2839,2745,2871
18:55:29:138,466,6,4,2873,12458,2838,2747,2873
18:55:29:266,465,6,4,2874,12428,2835,2745,2874
18:55:29:394,463,7,4,2877,12401,2843,2746,2877
18:55:29:532,462,6,4,2875,12373,2838,2747,2875
18:55:29:732,461,6,4,2880,12346,2839,2747,2880
18:55:29:858,459,6,4,2876,12316,2840,2745,2876
18:55:29:985,458,6,4,2875,12287,2839,2744,2875
18:55:30:121,456,6,4,2872,12256,2836,2745,2872
18:55:30:324,455,6,4,2872,12232,2838,2746,2872
18:55:30:449,454,6,4,2873,12207,2832,2743,2873
18:55:30:637,453,6,4,2873,12174,2834,2745,2873
18:55:30:763,451,6,4,2875,12150,2837,2744,2875
18:55:30:890,450,6,4,2877,12114,2831,2745,2877
18:55:31:028,449,6,4,2875,12092,2835,2743,2875
18:55:31:231,447,6,4,2878,12067,2834,2743,2878
18:55:31:353,446,6,4,2876,12036,2832,2745,2876
18:55:31:541,445,6,4,2874,12009,2834,2744,2874
18:55:31:667,443,6,4,2874,11983,2835,2744,2874
18:55:31:823,442,6,4,2872,11955,2832,2745,2872
18:55:31:948,441,6,4,2875,11925,2835,2746,2875
18:55:32:135,440,6,4,2878,11901,2833,2742,2878
18:55:32:260,438,6,4,2880,11875,2829,2743,2880
18:55:32:386,437,6,4,2874,11848,2829,2743,2874
18:55:32:526,436,6,4,2878,11820,2830,2742,2878
18:55:32:731,434,6,4,2879,11789,2828,2743,2879
18:55:32:855,433,6,3,2876,11764,2831,2736,2876
18:55:32:983,432,6,4,2873,11740,2828,2744,2873
18:55:33:121,431,6,4,2880,11714,2830,2743,2880
18:55:33:325,429,6,4,2879,11683,2827,2746,2879
18:55:33:450,428,6,4,2875,11663,2830,2741,2875
18:55:33:633,427,6,4,2879,11635,2825,2744,2879
18:55:33:757,426,6,4,2875,11608,2827,2742,2875
18:55:33:884,424,6,4,2874,11584,2830,2739,2874
18:55:34:022,423,6,4,2877,11556,2825,2742,2877
18:55:34:224,422,6,4,2879,11532,2830,2741,2879
18:55:34:349,421,6,4,2877,11503,2828,2738,2877
18:55:34:538,420,6,4,2875,11481,2828,2742,2875
18:55:34:662,418,6,4,2877,11455,2825,2740,2877
18:55:34:793,417,6,4,2877,11428,2822,2740,2877
18:55:34:929,416,6,4,2880,11400,2827,2742,2880
18:55:35:134,414,6,4,2881,11372,2823,2741,2881
18:55:35:258,413,6,4,2876,11349,2824,2742,2876
